Id,SalePrice
1461,118535.21828466468
1462,151287.18956760265
1463,173829.02151343145
1464,189022.9197458597
1465,195406.77396710275
1466,176795.0943795799
1467,176993.2011642818
1468,169380.92350455755
1469,183975.91846837936
1470,122316.76738246225
1471,186604.5370821625
1472,98390.25310695657
1473,96939.36442363661
1474,148267.6337777776
1475,118909.2392134098
1476,355021.8248022876
1477,247249.51532492304
1478,298760.6913863801
1479,286168.5760735698
1480,472356.4091290662
1481,318881.6080935636
1482,211644.54937688244
1483,175570.89114439086
1484,170302.01508971426
1485,185991.00615903354
1486,195684.39582030085
1487,327547.2230299665
1488,236256.08047056242
1489,197039.56914777448
1490,219679.71880271952
1491,191974.64111825183
1492,93614.17256767968
1493,186410.40495526564
1494,292821.15599849756
1495,286418.8434163988
1496,229629.1848847141
1497,179558.66971205024
1498,167803.24774006766
1499,159665.15457424847
1500,160602.12905145643
1501,172660.32440121315
1502,157034.65348361337
1503,277865.9120435913
1504,240682.89262748155
1505,221502.17409480322
1506,184621.45091924816
1507,240799.6910796608
1508,193145.54025992105
1509,159590.9088289998
1510,147398.76010308383
1511,153261.9109721835
1512,167945.0321515195
1513,148811.58713457317
1514,150601.7727083228
1515,184575.1163945301
1516,153500.51324014613
1517,158718.81685261606
1518,131544.04546885518
1519,215187.21424450324
1520,132730.8240020561
1521,134110.40030779308
1522,167658.6445871297
1523,113711.6131270829
1524,120636.58096577507
1525,121088.59542198956
1526,118004.10637211867
1527,108498.74624291263
1528,130620.20622698292
1529,145940.40367836825
1530,187410.51198600203
1531,124455.32005356307
1532,103988.64337367771
1533,141844.67359237617
1534,120182.2123200371
1535,140236.48216996956
1536,112895.55685068277
1537,69896.2606873506
1538,150940.65803980065
1539,191087.0853117949
1540,101033.22819192408
1541,136489.21577794122
1542,133637.2537041048
1543,183079.03206199128
1544,87612.94855434832
1545,108290.7365165799
1546,132989.4740059784
1547,131967.99127493292
1548,134362.60511253792
1549,118986.24508160264
1550,139075.0845217547
1551,112454.77671220247
1552,143770.94767653517
1553,137757.09073737485
1554,117170.99032474236
1555,157648.84077158026
1556,91655.70269426782
1557,104225.24185926486
1558,97515.91437425683
1559,87732.72213089468
1560,135819.52873382997
1561,128605.2716816078
1562,130672.62706206815
1563,122711.96791928101
1564,157223.93663389568
1565,150261.3974627079
1566,226134.95698390645
1567,81093.8487853742
1568,231141.18943195973
1569,133344.4899546756
1570,136366.53642393666
1571,118861.6722463452
1572,139258.55729719636
1573,225719.33375673747
1574,118677.21015572667
1575,221504.48388226595
1576,237041.3432572203
1577,193097.7444170482
1578,146351.21639860654
1579,139918.9715098337
1580,192008.29241744668
1581,148488.33063574403
1582,128709.51417679622
1583,300315.96322841314
1584,229744.98070302507
1585,139243.65807576198
1586,75338.43737513525
1587,107715.39322688119
1588,148873.56555974108
1589,96371.40130954629
1590,132539.8862785445
1591,97624.14729987922
1592,115630.5983570049
